ID,RequirementText,Human_Functional (F),Human_Availability (A),Human_Fault Tolerance (FT),Human_Legal (L),Human_Look & Feel (LF),Human_Maintainability (MN),Human_Operability (O),Human_Performance (PE),Human_Portability (PO),Human_Scalability (SC),Human_Security (SE),Human_Usability (US)
5382,"User shall be able to manage the user portfolio, providing access to new users and deleting inactive employees.",1,0,0,0,0,0,0,0,0,0,0,0
6660,User shall click on any particular passport for checking data.,1,0,0,0,0,0,0,0,0,0,0,0
7500,The system shall allow consumers to search for data packages by publisher.,1,0,0,0,0,0,0,0,0,0,0,0
3146,A method MUST be found how to allocate identifiers to the participants that use the infrastructure for transportation of VCDs and related services,1,0,0,0,0,0,0,0,0,0,1,0
7014,System shall not store any cookies containing the user's password or confidential information on the customer's computer.,0,0,0,0,0,0,0,0,0,0,1,0
922,The system shall provide browsing options to see product details.,1,0,0,0,0,0,0,0,0,0,0,0
8696,The software output shall be viewable in a web browser.,0,0,0,0,0,0,0,0,1,0,0,0
2719,"Create layer that includes ""cones of depression"" for the MFL information, which will indicate the area of influence to an MFL.",1,0,0,0,0,0,0,0,0,0,0,0
5016,The carpool system shall allow users to define their availability and automatically assign them as drivers based on pre-determined criteria.,1,0,0,0,0,0,0,0,0,0,0,0
3308,The mapping has to be easily maintainable which could be of interest in the case of changes of the legal basis on national or European level. A formal procedure has to be found how changes are applied to the system. Moreover an organisation or institution that governs the process of change management has to be defined.,0,0,0,1,0,1,1,0,0,0,0,0
9400,"User shall access the system concurrently with a minimum capacity of 100 simultaneous users, maintaining performance.",0,0,0,0,0,0,0,1,0,1,0,0
6736,The software shall offer an essential non-functional requirement highlighting its operation.,1,0,0,0,0,0,0,0,0,0,0,0
4787,The system must allow a member of the network to send requests to a particular or all the other members about possible delivery of a driver's smart card to a similar person.,1,0,0,0,0,0,0,0,0,0,0,0
2130,After overriding this function the movement authority shall be re-established.,1,0,1,0,0,0,0,0,0,0,0,0
4112,"The user shall be able to search for restaurants by any criteria (name, description, address, type, or menu) in a free-text field, with results shown on a map.",1,0,0,0,0,0,0,0,0,0,0,0
7939,The system shall allow assistant archivists to upload staff-generated working papers.,1,0,0,0,0,0,0,0,0,0,0,0
6190,"When in billing mode, a surface computer shall display a representation of a cash payment for the whole table.",1,0,0,0,0,0,0,0,0,0,0,0
1889,"The system shall be capable of storing notes in plain text and XML, and shall maximize the notes field size. The user shall be capable of setting the size of the notes field.",1,0,0,0,0,0,0,0,0,0,0,0
7595,System shall maintain backward compatibility and smooth dependency installation for Ubuntu 10.04 LTS.,0,0,0,0,0,0,1,0,1,0,0,0
2690,The same datasets need to be used by all departments or sections of the District.,0,0,0,0,0,0,1,0,0,0,0,0
1632,"When the user logs onto the system on the date of their reminder, they shall receive a popup window displaying their reminder message.",1,0,0,0,0,0,0,0,0,0,0,0
2817,"All archived chats, e-mail, file share, and IM Messages are governed by the NJIT E-mail use policy. The user is encouraged to view the content at the NJIT homepage for detailed use of the policy and restrictions and limitations of the policy.",0,0,0,1,0,0,0,0,0,0,0,0
6348,The hardware requirements include a computer with at least 256 MB RAM and internet connection.,0,0,0,0,0,0,0,0,1,0,0,0
7448,The system shall allow deleting user accounts.,1,0,0,0,0,0,0,0,0,0,0,0
7901,System shall support dataset deposition and management via SWORD2 API for interoperability.,1,0,0,0,0,0,1,0,0,0,0,0
5501,User shall be able to log in with a valid login ID and password.,1,0,0,0,0,0,0,0,0,0,1,0
2499,The System shall deliver A-DCS Data Products from IDPS to the US Global Processing Center within 1 minute of their receipt.,1,0,0,0,0,0,0,1,0,0,0,0
6420,"Alternatively, the user can push the ""Ctrl+C"" key combination or right-click the mouse and select the ""Copy Item"" button from the context menu.",0,0,0,0,0,0,0,0,0,0,0,1
1176,Requests of subsystems for status information must be answered within 5 sec and be possible in maintenance level operation.,0,0,0,0,0,0,1,1,0,0,0,0
1579,Each Member of this network will organise its data about smart card holders with no constraints or recommendations on operating system and/or technology used. The system will be able to dialog with these environments or specify a generic interface to dialog with the Memberâ€™s applications.,1,0,0,0,0,0,1,0,1,0,0,0
6071,The user shall be able to select a subject from a drop-down menu or add a new subject.,1,0,0,0,0,0,0,0,0,0,0,0
4849,Realtor shall be able to generate a CMA report based on property criteria.,1,0,0,0,0,0,0,0,0,0,0,0
2615,The system must allow actors in the capacity of course administrator to post grades associated with assignments for a particular actor in the capacity of student. Actors in the role of professor may want to optionally grade assignments online since they are being submitted electronically by actors in the role of student.,1,0,0,0,0,0,0,0,0,0,0,0
7641,System shall maintain backward compatibility and smooth dependency installation.,0,0,0,0,0,1,1,0,1,0,0,0
7840,System shall integrate with Pure to enable dataset deposition and management within the platform.,1,0,0,0,0,0,1,0,0,0,0,0
9224,Backups of the database shall be retrieved and saved by the administrator in case of hardware failure or database corruption.,1,0,1,0,0,0,1,0,0,0,0,0
5218,Authorization login shall be required when the software starts.,1,0,0,0,0,0,0,0,0,0,1,0
8543,Administrator shall be able to remove videos by entering the video name and receive confirmation of successful removal.,1,0,0,0,0,0,0,0,0,0,0,1
1278,The GUI shall provide a list of previously entered lane closures.,1,0,0,0,0,0,0,0,0,0,0,0
9129,The system shall authenticate users using their account credentials.,0,0,0,0,0,0,0,0,0,0,1,0
4000,"In the Twitter settings menu, the system shall allow the user to delete their saved username and password for Twitter.",1,0,0,0,0,0,0,0,0,0,1,0
2856,Users must enable java scripts on their systems to be able to install Instant-Edu messaging software,0,0,0,0,0,0,1,0,1,0,0,0
7910,"The system shall allow repository managers to create, describe, and update objects.",1,0,0,0,0,0,0,0,0,0,0,0
